Filename, 1_Team1 Won Toss, 2_Team2 Won Toss, 3_Team1 Home, 4_Team2 Home, 5_Team1 Away, 6_Team2 Away,  7_Team1 > 300, 8_Team1 < 200, 9_Team1 b/w 200 and 300, 10_Team2(till 25th over) >= 200, 11_Team2(till 25th over) b/w 200 and 150,  12_Team2(till 25th over) b/w 150 and 100, 13_Team2(till 25th over) < 100, 14_Team2 Wickets(till 25th over) <=2, 15_Team2 Wickets(till 25th over) b/w 2 and 4, 16_Team2 Wickets(till 25th over) b/w 4 and 6,  17_Team2 Wickets(till 25th over) > 6, 18_Team1 - Team2(Rank Diff): 1, 19_Team1 - Team2(Rank Diff): 2,  20_Team1 - Team2(Rank Diff): 3, 21_Team1 - Team2(Rank Diff): >=4,  22_Team2 - Team1(Rank Diff): 1, 23_Team2 - Team1(Rank Diff): 2, 24_Team2 - Team1(Rank Diff): 3,  25_Team2 - Team1(Rank Diff): >=4, 26_Team1 Won, Team 2 Won
387568.yaml, 1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
433579.yaml, 1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
656447.yaml, 0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
730291.yaml, 1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
567368.yaml, 0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
573022.yaml, 1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
249380.yaml, 0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
415276.yaml, 0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
352669.yaml, 0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
403380.yaml, 1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
696733.yaml, 0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
249742.yaml, 1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
800475.yaml, 0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
848847.yaml, 1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
756041.yaml, 0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
386533.yaml, 1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
456662.yaml, 1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
474481.yaml, 0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
531984.yaml, 1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
589310.yaml, 1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
710297.yaml, 0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
433572.yaml, 1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
566947.yaml, 0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
656481.yaml, 1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
247487.yaml, 0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
249233.yaml, 1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
